u[0] = 0,932000
u[1] = 0,928629
u[2] = 0,925258
u[3] = 0,921887
u[4] = 0,918516
u[5] = 0,915146
u[6] = 0,911776
u[7] = 0,908406
u[8] = 0,905037
u[9] = 0,901668
u[10] = 0,898300
u[11] = 0,894933
u[12] = 0,891566
u[13] = 0,888201
u[14] = 0,884836
u[15] = 0,881472
u[16] = 0,878109
u[17] = 0,874747
u[18] = 0,871387
u[19] = 0,868027
u[20] = 0,864669
u[21] = 0,861313
u[22] = 0,857958
u[23] = 0,854604
u[24] = 0,851252
u[25] = 0,847902
u[26] = 0,844553
u[27] = 0,841206
u[28] = 0,837861
u[29] = 0,834518
u[30] = 0,831177
u[31] = 0,827838
u[32] = 0,824501
u[33] = 0,821166
u[34] = 0,817834
u[35] = 0,814504
u[36] = 0,811176
u[37] = 0,807850
u[38] = 0,804528
u[39] = 0,801208
u[40] = 0,797890
u[41] = 0,794575
u[42] = 0,791263
u[43] = 0,787954
u[44] = 0,784648
u[45] = 0,781345
u[46] = 0,778045
u[47] = 0,774748
u[48] = 0,771454
u[49] = 0,768163
u[50] = 0,764876
u[51] = 0,761592
u[52] = 0,758312
u[53] = 0,755035
u[54] = 0,751761
u[55] = 0,748492
u[56] = 0,745226
u[57] = 0,741963
u[58] = 0,738705
u[59] = 0,735450
u[60] = 0,732200
u[61] = 0,728953
u[62] = 0,725710
u[63] = 0,722472
u[64] = 0,719238
u[65] = 0,716008
u[66] = 0,712782
u[67] = 0,709561
u[68] = 0,706344
u[69] = 0,703131
u[70] = 0,699924
u[71] = 0,696720
u[72] = 0,693522
u[73] = 0,690328
u[74] = 0,687139
u[75] = 0,683955
u[76] = 0,680776
u[77] = 0,677601
u[78] = 0,674432
u[79] = 0,671268
u[80] = 0,668109
u[81] = 0,664955
u[82] = 0,661806
u[83] = 0,658663
u[84] = 0,655525
u[85] = 0,652393
u[86] = 0,649266
u[87] = 0,646144
u[88] = 0,643028
u[89] = 0,639918
u[90] = 0,636813
u[91] = 0,633714
u[92] = 0,630621
u[93] = 0,627534
u[94] = 0,624452
u[95] = 0,621377
u[96] = 0,618308
u[97] = 0,615244
u[98] = 0,612187
u[99] = 0,609136
u[100] = 0,606091
u[101] = 0,603052
u[102] = 0,600020
u[103] = 0,596994
u[104] = 0,593974
u[105] = 0,590961
u[106] = 0,587955
u[107] = 0,584955
u[108] = 0,581961
u[109] = 0,578974
u[110] = 0,575994
u[111] = 0,573021
u[112] = 0,570054
u[113] = 0,567094
u[114] = 0,564141
u[115] = 0,561195
u[116] = 0,558256
u[117] = 0,555324
u[118] = 0,552399
u[119] = 0,549481
u[120] = 0,546570
u[121] = 0,543666
u[122] = 0,540770
u[123] = 0,537881
u[124] = 0,534999
u[125] = 0,532124
u[126] = 0,529257
u[127] = 0,526397
u[128] = 0,523545
u[129] = 0,520700
u[130] = 0,517863
u[131] = 0,515033
u[132] = 0,512211
u[133] = 0,509397
u[134] = 0,506590
u[135] = 0,503791
u[136] = 0,501000
u[137] = 0,498216
u[138] = 0,495441
u[139] = 0,492673
u[140] = 0,489913
u[141] = 0,487161
u[142] = 0,484417
u[143] = 0,481681
u[144] = 0,478953
u[145] = 0,476233
u[146] = 0,473521
u[147] = 0,470818
u[148] = 0,468122
u[149] = 0,465435
u[150] = 0,462756
u[151] = 0,460085
u[152] = 0,457422
u[153] = 0,454768
u[154] = 0,452122
u[155] = 0,449484
u[156] = 0,446855
u[157] = 0,444235
u[158] = 0,441622
u[159] = 0,439018
u[160] = 0,436423
u[161] = 0,433836
u[162] = 0,431258
u[163] = 0,428688
u[164] = 0,426127
u[165] = 0,423575
u[166] = 0,421031
u[167] = 0,418496
u[168] = 0,415969
u[169] = 0,413451
u[170] = 0,410942
u[171] = 0,408442
u[172] = 0,405951
u[173] = 0,403468
u[174] = 0,400994
u[175] = 0,398529
u[176] = 0,396073
u[177] = 0,393625
u[178] = 0,391187
u[179] = 0,388757
